site_id,latitude,longitude,region,country
RedSea_AlShabaan,24.801613,37.180562,RedSea,SaudiArabia
Gulf_Qeshm,26.830000,55.780000,PersianGulf,Iran
SouthAsia_Sundarbans_IN,21.950000,88.900000,SouthAsia,India
SEAsia_CanGio,10.520000,106.880000,SEAsia,Vietnam
SEAsia_MahakamDelta,-0.700000,117.550000,SEAsia,Indonesia
Australia_Carpentaria,-16.000000,137.000000,Australia,Australia
