site_id,date,time_idx,latitude,longitude,area,ndvi,precipitation,salinity,sea_surface_height,soil_moisture,ocean_current_speed,ocean_cur_dir_sin,ocean_cur_dir_cos,wind_speed,wind_direction_sin,wind_direction_cos
Al_Shabaan,1/1/2014,1,24.80161344,37.18056221,490467,0.333323182,0,39.49626434,0.270828725,0.161430866,1.962607379,-0.150761863,-0.988570109,3.380462315,-0.993183458,0.116561651
Al_Shabaan,2/1/2014,2,24.80161344,37.18056221,542665,0.307356474,0,39.41384521,0.207191756,0.150411023,1.705436361,0.806212213,-0.591626459,4.303862712,-0.973730764,0.227702434
Al_Shabaan,3/1/2014,3,24.80161344,37.18056221,399785,0.206932839,9.25291749,39.42295817,0.201502688,0.15927692,1.311646586,0.43236263,-0.901699815,2.873339605,-0.900969176,0.433883099
Al_Shabaan,4/1/2014,4,24.80161344,37.18056221,401384,0.307079762,5.660076164,39.29505152,0.190431699,0.166628481,2.269736774,-0.017734665,-0.999842728,2.293353638,-0.934003341,0.357264271
Al_Shabaan,5/1/2014,5,24.80161344,37.18056221,311387,0.224484573,0.30626924,39.31908208,0.135584946,0.151313107,2.243012189,0.816742449,-0.577002402,4.74853755,-0.907817666,0.419365099
Al_Shabaan,6/1/2014,6,24.80161344,37.18056221,1088970,0.3074387,0,39.33052612,0.031725091,0.146116754,1.728915663,0.848993911,0.52840263,5.66104643,-0.899701117,0.436506471
Al_Shabaan,7/1/2014,7,24.80161344,37.18056221,636388,0.295727615,0,39.35782674,-0.057012366,0.143539967,2.032691595,-0.693922194,-0.720049991,3.967574955,-0.883573739,0.468292055
Al_Shabaan,8/1/2014,8,24.80161344,37.18056221,616836,0.309046135,0,39.36180344,-0.144683487,0.142514271,2,1.22E-16,-1,5.600376926,-0.93529128,0.353878823
Al_Shabaan,9/1/2014,9,24.80161344,37.18056221,673742,0.287372288,0,39.66976077,-0.158855077,0.141728999,2.479948961,-0.466362082,-0.884593923,6.075366126,-0.926062183,0.377370948
Al_Shabaan,10/1/2014,10,24.80161344,37.18056221,641135,0.294686653,0,39.44796168,-0.009790707,0.142120328,1.777633477,0.882596437,-0.470131396,4.894922099,-0.953934589,0.300014666
Al_Shabaan,11/1/2014,11,24.80161344,37.18056221,954384,0.282314815,5.1479689,39.38959152,0.085251073,0.14978295,2.189772256,-0.129841206,-0.991534801,2.936809654,-0.982613923,0.185660652
Al_Shabaan,12/1/2014,12,24.80161344,37.18056221,646161,0.313527718,5.93180791,39.38896657,0.155169048,0.164497317,2.455626164,0.105788625,-0.99438864,1.316524669,-0.957677795,-0.287842391
Al_Shabaan,1/1/2015,13,24.80161344,37.18056221,840049,0.304360001,0.065695732,39.24286341,0.131573097,0.156309793,1.978668486,0.096770711,-0.995306701,3.644728752,-0.965313672,0.261092925
Al_Shabaan,2/1/2015,14,24.80161344,37.18056221,1629612,0.266538632,0.721748221,39.27990519,0.2661688,0.151326466,1.233844469,0.85992877,-0.510414058,2.63532462,-0.968706907,0.248207431
Al_Shabaan,3/1/2015,15,24.80161344,37.18056221,429283,0.313776463,8.174772716,39.4669281,0.273155941,0.159527494,2.221916233,0.796573785,-0.604541318,4.269459024,-0.923948012,0.382518067
Al_Shabaan,4/1/2015,16,24.80161344,37.18056221,587663,0.309592175,0.173732412,39.16162872,0.13698689,0.161871391,1.301178992,0.953743794,0.300620649,5.854080555,-0.905892363,0.423508001
Al_Shabaan,5/1/2015,17,24.80161344,37.18056221,847567,0.349992789,0.056803757,39.24804428,0.157864593,0.151955069,1.498671979,0.715187938,-0.698932195,4.148608203,-0.910332529,0.413877623
Al_Shabaan,6/1/2015,18,24.80161344,37.18056221,893483,0.332661199,0,39.54789484,0.020248768,0.146198164,2.01465673,-0.107536535,-0.994201133,5.339060431,-0.868973147,0.494859243
Al_Shabaan,7/1/2015,19,24.80161344,37.18056221,924597,0.320253253,0,39.59836241,-0.049252919,0.144663728,2.045259431,-0.321534699,-0.946897797,3.831044786,-0.899611427,0.436691288
Al_Shabaan,8/1/2015,20,24.80161344,37.18056221,717632,0.331570259,0,39.4733762,-0.048181413,0.143973107,2.68133518,0.895442427,0.445177335,5.179546613,-0.897076872,0.441874514
Al_Shabaan,9/1/2015,21,24.80161344,37.18056221,512059,0.25355223,0,39.63337884,-0.039212228,0.142835072,2.563395561,0.496144218,-0.868240125,5.21710468,-0.908549869,0.417776419
Al_Shabaan,10/1/2015,22,24.80161344,37.18056221,626062,0.276775402,1.199087399,39.62913381,0.041066743,0.143523798,2.09569731,-0.056317747,-0.998412896,2.287437297,-0.981764996,0.190098637
Al_Shabaan,11/1/2015,23,24.80161344,37.18056221,530079,0.326323778,11.28537959,39.74303686,0.16289687,0.161011817,2.051990872,0.395810363,-0.918332269,2.809193739,-0.968753659,0.248024895
