month,area,ndvi,ocean_current_speed ,ocean_current_direction,precipitation,salinity,sea_surface_height,soil_moisture,surface_temperature,wind_speed ,wind_direction 
2014-01,71940,0.379506279,2.425843774,176.3287872,0,39.46614801,0.241414504,0.158647942,26.304,0.903065255,216.9415301
2014-02,78234,0.378480426,2.215906536,100.605993,4.467441559,39.39858889,0.201844311,0.158378164,28.132,0.880749073,217.5947995
2014-03,77335,0.33410732,1.78318598,75.68970723,1.334501743,39.39905787,0.182084165,0.18723201,31.168,0.119876276,92.54480706
2014-04,64746,0.288409292,2,59.54774982,1.142013431,39.26998171,0.211146421,0.175729095,36.812,0.55656499,48.25318293
2014-05,72818,0.345454221,2.129655528,83.79196517,0,39.30629739,0.139224351,0.17090783,37.514,0.542896012,317.6730666
2014-06,68343,0.344730451,1.780128025,176.8112579,0,39.30076402,-0.014123477,0.16145709,41.096,0.807368034,331.9828261
2014-07,62947,0.334897962,2,120,0,39.34654002,-0.070268729,0.157747969,41.777,1.02512894,9.230386715
2014-08,72818,0.331724896,1.333333333,119.5181217,0,39.32067049,-0.129772056,0.156100591,41.462,0.891793505,11.45422299
2014-09,71040,0.318386064,2.118033989,103.2825256,0,39.63087315,-0.15251559,0.155128487,38.496,0.444609197,302.1738574
2014-10,66544,0.293183219,2.206022825,220.0873765,0,39.42208945,-0.058447172,0.154499242,34.836,0.247140809,248.3825972
2014-11,75537,0.338674069,2.29222973,178.7822736,0,39.37085989,0.036159681,0.15418824,30.296,1.075009108,213.7184015
2014-12,81810,0.338421776,1.530275808,207.9436413,2.556696415,39.37483682,0.114151963,0.176056523,28.47,1.157587048,211.9317623
2015-01,64746,0.304353441,2.236067977,273.6472424,0,39.22438661,0.132902609,0.1728603,26.44,0.524908564,221.7366127
2015-02,53055,0.303282244,3.006322249,115.2943276,0.725937963,39.27860991,0.221014416,0.180043166,26.879,0.337243466,210.6932004
2015-03,66544,0.311461871,2.291117138,142.3399435,0,39.45253448,0.219335329,0.17791816,32.198,0.142621553,267.6342898
2015-04,68343,0.317173626,1.25,205.5856744,0,39.12850548,0.098615596,0.168772591,35.305,0.493420265,354.7284755
2015-05,66544,0.300253001,2.413568262,199.0730229,0.58414495,39.2240522,0.130176248,0.165753213,37.972,0.422099449,5.49274377
